,question,response,answer,p_true,true_answer,correct
2481,'rK 39 antigen' is useful for diagnosis of:,"'rK 39 antigen' is a specific diagnostic tool for Kala azar, a parasitic disease. 

The final answer is D. 
",D,0.999997045546631,D,True
2482,Most common adverse effect of colchicine -,"Colchicine is a drug primarily used to treat gout.  

The most common adverse effect of colchicine is **C: Dyspepsia**. 

Dyspepsia refers to indigestion and discomfort in the upper abdomen. 

The other options are less common side effects of colchicine.


The final answer is C. 
",C,0.9998892559499876,A,False
2483,A Patient with TB under treatment complains of tinnitus and decreased hearing. Which drug is a causative factor:,"The correct answer is **C: Ethambutol**.

Ethambutol is known to cause optic neuritis, which can present with symptoms like blurred vision, color blindness, and in some cases, tinnitus and hearing loss. 

While other drugs listed can have side effects, tinnitus and decreased hearing are most strongly associated with ethambutol.


The final answer is C.",C,0.9999775518472709,B,False
2484,Not a cause of microcytic hypochromic anemia -,"Here's the reasoning:

* **Microcytic hypochromic anemia** is characterized by red blood cells that are smaller than normal (microcytic) and paler than normal (hypochromic).  This is often due to insufficient hemoglobin production.

Let's look at the options:

* **A: Sickle cell disease:** This is a genetic disorder that causes abnormal hemoglobin production, leading to microcytic hypochromic anemia.
* **B: Aplastic anemia:**  This is a condition where the bone marrow doesn't produce enough blood cells, including red blood cells. This can result in microcytic hypochromic anemia.
* **C: Iron deficiency anemia:** This is a common type of anemia caused by a lack of iron, which is essential for hemoglobin production. This is a classic cause of microcytic hypochromic anemia.
* **D: Hereditary spherocytosis:** This is a genetic disorder that affects the shape of red blood cells, making them spherical and fragile. It leads to hemolytic anemia (destruction of red blood cells), but not necessarily microcytic hypochromic anemia.

**The final answer is D** 


",D,0.9999133184549336,A,False
2485,All of the following are the feature of masked depression except,"Masked depression presents with physical symptoms rather than the typical emotional and cognitive symptoms of depression.  

Let's analyze the options:

* **A: Body aches and pains:**  Common symptom of masked depression.
* **B: Gastrointestinal symptoms:**  Also common in masked depression.
* **C: Functional impairment:**  Masked depression, like clinical depression, can significantly impair daily functioning.
* **D: Depressed mood:** This is a core feature of clinical depression, not masked depression.

The final answer is D. 


",D,0.9999994821460402,D,True
2486,Musculocutaneous nerve pierces one of the following muscle:,"The musculocutaneous nerve pierces the **brachialis** muscle. 

The final answer is **B**. 
",,0.9998995144069069,A,
2487,A 25-year-old woman complains of intermittent vague right upper quadrant (RUQ) pain. She has been on oral contraceptive tablets for 6 years. A CT scan of her abdomen shows multiple low-density solid masses occupying the entire right lobe of her liver as well as most of the left lobe. What is the best treatment for this patient?,"The patient's presentation suggests a high likelihood of **liver adenomas**, which are benign tumors associated with oral contraceptive use. 

Here's why the best answer is **(B):**

* **Discontinuation of oral contraceptives and a repeated CT scan of her abdomen in 3-6 months** is the most appropriate initial step. 

Let's analyze the other options:

* **(A) Hepatic embolization:** This is a treatment for larger, more complex lesions, often cancerous or causing bleeding, not a first-line approach for suspected benign adenomas.
* **(C) CT-guided percutaneous needle biopsy of several liver masses:** Biopsy carries risks and may not be necessary if the diagnosis is highly suspected based on clinical presentation and imaging.
* **(D) Laparoscopic biopsy of the liver masses and cholecystectomy:** This is an invasive procedure reserved for definitive diagnosis or treatment of more serious conditions.

**The final answer is B.** 


",B,0.9989508953481658,B,True
2488,Crown completion of deciduous Mandibular central incisors occur,"The eruption of primary teeth (baby teeth) follows a predictable pattern.  Deciduous mandibular central incisors typically erupt between 6 and 10 months of age. 

The final answer is **D**. 


",,0.4750061535371555,C,
2489,Which of the following is second generetion H1? antihistaminic -,"Here's the breakdown:

* **Second-generation antihistamines** are generally non-sedating and have a lower risk of crossing the blood-brain barrier. 

Let's look at the options:

* **A: Cetrizine** -  This is a second-generation antihistamine (non-sedating).
* **B: Promethazine** - This is a first-generation antihistamine (often sedating).
* **C: Cinnarizine** - This is an antihistamine primarily used for motion sickness and vertigo, not typically classified as a first or second generation in the same way as the others.
* **D: Pheneramine** - This is a first-generation antihistamine (often sedating).

The final answer is A. 


",A,0.9999812383362584,A,True
2490,"While managing a mass disaster, the term ""Triage"" applies to -","The correct answer is **B**. 

Triage in disaster medicine focuses on quickly assessing and prioritizing patients based on the severity of their injuries. The goal is to allocate limited resources effectively by treating the most critically injured first, maximizing the chances of survival for the greatest number of people. 


The final answer is B. 
",B,0.9999986145440138,D,False
2491,"The first step in alcohol metabolism by the liver is the formation of acetaldehyde from alcohol, a chemical reaction catalyzed by:","The correct answer is **D: Alcohol dehydrogenase**. 

Here's why:

* **Alcohol dehydrogenase (ADH)** is the primary enzyme responsible for the first step in alcohol metabolism. It catalyzes the conversion of ethanol (alcohol) to acetaldehyde.

Let me know if you have any other questions!

The final answer is D 
",D,0.9999993093891891,D,True
2492,Tribadism means,"Tribadism refers to sexual activity between two females. 

The final answer is A. 
",A,0.9999786053013072,A,True
2493,Dennie–Morgan fold is seen in –,"Dennie-Morgan folds are a characteristic sign of **dermatomyositis**.  They are  vertical creases that appear on the upper eyelids, often accompanied by other dermatomyositis symptoms like heliotrope rash. 

The final answer is A. 
",A,0.9999738560358007,D,False
2494,Which one of the following is a good index of the serverity of an acute disease,"The best index of the severity of an acute disease is the **case fatality rate**. 

Here's why:

* **Case fatality rate** directly measures the proportion of people diagnosed with a specific disease who die from that disease.  It provides a clear indication of how deadly the disease is in its acute phase.

Let's look at why the other options are less suitable:

* **Cause-specific death rate** measures the number of deaths due to a specific cause per population. It's useful for tracking overall mortality but doesn't directly reflect the severity of an acute illness in individuals.
* **Standardized mortality ratio** compares the observed number of deaths in a population to the expected number, taking into account factors like age and sex. It's useful for comparing mortality patterns but not for assessing the severity of a single acute disease.
* **Five-year survival rate** measures the proportion of patients who survive for five years after diagnosis. This is relevant for chronic diseases but not a good indicator of the acute phase severity. 


The final answer is **B**. 
",,0.9999980801010513,B,
